team_id,team_url,team,players_used,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,competition_id,season_id,id
0cdc4311,/en/squads/0cdc4311/2019-2020/Augsburg-Stats,Augsburg,28,34.0,8439,12287,68.7,157794,67041,3561,4445,80.1,3403,4308,79.0,1149,2545,45.1,29,29.7,22.9,-0.7,256,542,169,53,815,20,2019-2020,e227d49e-45fb-4b93-8046-0759bae80a88
054efa67,/en/squads/054efa67/2019-2020/Bayern-Munich-Stats,Bayern Munich,29,34.0,20587,24273,84.8,362049,120150,9119,10103,90.3,8654,9667,89.5,2153,3150,68.3,75,73.1,80.1,+1.9,481,1717,498,120,2300,20,2019-2020,e227d49e-45fb-4b93-8046-0759bae80a88
add600ae,/en/squads/add600ae/2019-2020/Dortmund-Stats,Dortmund,27,34.0,20601,24071,85.6,342695,106977,9954,10940,91.0,8099,8993,90.1,1812,2720,66.6,74,50.6,46.4,+23.4,358,1269,308,41,1736,20,2019-2020,e227d49e-45fb-4b93-8046-0759bae80a88
b1278397,/en/squads/b1278397/2019-2020/Dusseldorf-Stats,Düsseldorf,28,34.0,11367,15164,75.0,222976,87520,4518,5356,84.4,4852,5895,82.3,1737,3065,56.7,26,24.2,23.8,+1.8,297,902,213,75,1268,20,2019-2020,e227d49e-45fb-4b93-8046-0759bae80a88
f0ac8ee6,/en/squads/f0ac8ee6/2019-2020/Eintracht-Frankfurt-Stats,Eint Frankfurt,27,34.0,12302,16602,74.1,230242,95308,5138,6124,83.9,5233,6456,81.1,1567,2924,53.6,45,44.8,45.6,+0.2,374,1052,283,128,1389,20,2019-2020,e227d49e-45fb-4b93-8046-0759bae80a88
a486e511,/en/squads/a486e511/2019-2020/Freiburg-Stats,Freiburg,26,34.0,12085,15762,76.7,233308,88480,4600,5443,84.5,5555,6461,86.0,1586,2893,54.8,27,33.0,31.3,-6.0,323,825,226,95,1128,20,2019-2020,e227d49e-45fb-4b93-8046-0759bae80a88
32f3ee20,/en/squads/32f3ee20/2019-2020/Monchengladbach-Stats,Gladbach,25,34.0,14321,17974,79.7,253262,94657,6206,7130,87.0,6115,7119,85.9,1530,2580,59.3,53,53.6,44.7,-0.6,353,940,277,55,1305,20,2019-2020,e227d49e-45fb-4b93-8046-0759bae80a88
2818f8bc,/en/squads/2818f8bc/2019-2020/Hertha-BSC-Stats,Hertha BSC,32,34.0,11361,14961,75.9,224357,85887,4388,5188,84.6,4939,5960,82.9,1735,2940,59.0,35,32.7,29.0,+2.3,270,768,185,69,1073,20,2019-2020,e227d49e-45fb-4b93-8046-0759bae80a88
033ea6b8,/en/squads/033ea6b8/2019-2020/Hoffenheim-Stats,Hoffenheim,31,34.0,14392,17932,80.3,255561,95532,6337,7147,88.7,6193,7124,86.9,1471,2658,55.3,36,40.2,34.2,-4.2,345,925,256,75,1261,20,2019-2020,e227d49e-45fb-4b93-8046-0759bae80a88
bc357bf7,/en/squads/bc357bf7/2019-2020/Koln-Stats,Köln,29,34.0,11195,15108,74.1,219640,90475,4315,5172,83.4,4871,5973,81.6,1721,3025,56.9,38,35.6,33.3,+2.4,309,806,249,96,1158,20,2019-2020,e227d49e-45fb-4b93-8046-0759bae80a88
c7a9f859,/en/squads/c7a9f859/2019-2020/Bayer-Leverkusen-Stats,Leverkusen,24,34.0,19042,22954,83.0,331206,109589,8525,9522,89.5,7998,8988,89.0,1891,3030,62.4,48,48.6,44.9,-0.6,394,1106,253,55,1471,20,2019-2020,e227d49e-45fb-4b93-8046-0759bae80a88
a224b06a,/en/squads/a224b06a/2019-2020/Mainz-05-Stats,Mainz 05,25,34.0,10245,13997,73.2,190213,79210,4413,5233,84.3,4136,5160,80.2,1356,2664,50.9,34,37.4,32.8,-3.4,340,809,230,65,1146,20,2019-2020,e227d49e-45fb-4b93-8046-0759bae80a88
d9f93f02,/en/squads/d9f93f02/2019-2020/Paderborn-07-Stats,Paderborn 07,27,34.0,11502,15172,75.8,215740,84031,4614,5427,85.0,4945,5926,83.4,1562,2706,57.7,26,26.8,22.4,-0.8,305,752,139,46,1009,20,2019-2020,e227d49e-45fb-4b93-8046-0759bae80a88
acbb6a5b,/en/squads/acbb6a5b/2019-2020/RB-Leipzig-Stats,RB Leipzig,29,34.0,16241,20063,81.0,269438,99769,7531,8560,88.0,6424,7396,86.9,1421,2450,58.0,58,54.4,51.1,+3.6,428,1263,339,67,1700,20,2019-2020,e227d49e-45fb-4b93-8046-0759bae80a88
c539e393,/en/squads/c539e393/2019-2020/Schalke-04-Stats,Schalke 04,29,34.0,12014,15752,76.3,219684,81535,5052,5932,85.2,5073,6019,84.3,1474,2721,54.2,25,25.5,25.8,-0.5,274,835,212,36,1201,20,2019-2020,e227d49e-45fb-4b93-8046-0759bae80a88
7a41008f,/en/squads/7a41008f/2019-2020/Union-Berlin-Stats,Union Berlin,26,34.0,9451,13664,69.2,179191,83697,3969,4928,80.5,3643,4732,77.0,1395,2884,48.4,27,28.0,28.6,-1.0,278,776,182,78,944,20,2019-2020,e227d49e-45fb-4b93-8046-0759bae80a88
62add3bf,/en/squads/62add3bf/2019-2020/Werder-Bremen-Stats,Werder Bremen,30,34.0,12893,16729,77.1,229582,88246,5787,6722,86.1,5333,6410,83.2,1401,2555,54.8,30,25.8,30.0,+4.2,320,923,237,67,1309,20,2019-2020,e227d49e-45fb-4b93-8046-0759bae80a88
4eaa11d7,/en/squads/4eaa11d7/2019-2020/Wolfsburg-Stats,Wolfsburg,26,34.0,11610,15677,74.1,222405,87941,4532,5502,82.4,5009,6105,82.0,1663,2975,55.9,33,37.9,35.4,-4.9,347,884,238,67,1247,20,2019-2020,e227d49e-45fb-4b93-8046-0759bae80a88
