team_id,team_url,team,players_used_away,avg_age_away,possession_away,games_away,games_starts_away,minutes_away,minutes_90s_away,goals_away,assists_away,goals_assists_away,goals_pens_away,pens_made_away,pens_att_away,cards_yellow_away,cards_red_away,goals_per90_away,assists_per90_away,goals_assists_per90_away,goals_pens_per90_away,goals_assists_pens_per90_away,competition_id,season_id,id
2b390eca,/en/squads/2b390eca/2015-2016/Athletic-Club-Stats,vs Athletic Club,25,26.3,50.1,38,418,"3,420",38.0,43,30,73,37,6,7,117,7,1.13,0.79,1.92,0.97,1.76,12,2015-2016,38a0990b-2b21-4b5e-b3e4-96e806c5d50b
db3b9613,/en/squads/db3b9613/2015-2016/Atletico-Madrid-Stats,vs Atlético Madrid,25,26.7,51.5,38,418,"3,420",38.0,18,12,30,17,1,1,97,4,0.47,0.32,0.79,0.45,0.76,12,2015-2016,38a0990b-2b21-4b5e-b3e4-96e806c5d50b
206d90db,/en/squads/206d90db/2015-2016/Barcelona-Stats,vs Barcelona,25,26.5,32.9,38,418,"3,420",38.0,27,21,48,26,1,1,126,9,0.71,0.55,1.26,0.68,1.24,12,2015-2016,38a0990b-2b21-4b5e-b3e4-96e806c5d50b
fc536746,/en/squads/fc536746/2015-2016/Real-Betis-Stats,vs Betis,29,26.7,53.3,38,418,"3,420",38.0,51,40,91,51,0,1,122,7,1.34,1.05,2.39,1.34,2.39,12,2015-2016,38a0990b-2b21-4b5e-b3e4-96e806c5d50b
f25da7fb,/en/squads/f25da7fb/2015-2016/Celta-Vigo-Stats,vs Celta Vigo,27,26.4,43.6,38,418,"3,420",38.0,57,40,97,54,3,5,108,6,1.50,1.05,2.55,1.42,2.47,12,2015-2016,38a0990b-2b21-4b5e-b3e4-96e806c5d50b
bea5c710,/en/squads/bea5c710/2015-2016/Eibar-Stats,vs Eibar,28,26.5,54.8,38,418,"3,420",38.0,59,46,105,56,3,4,92,5,1.55,1.21,2.76,1.47,2.68,12,2015-2016,38a0990b-2b21-4b5e-b3e4-96e806c5d50b
a8661628,/en/squads/a8661628/2015-2016/Espanyol-Stats,vs Espanyol,26,26.7,53.8,38,418,"3,420",38.0,72,50,122,66,6,6,113,6,1.89,1.32,3.21,1.74,3.05,12,2015-2016,38a0990b-2b21-4b5e-b3e4-96e806c5d50b
7848bd64,/en/squads/7848bd64/2015-2016/Getafe-Stats,vs Getafe,27,26.5,53.9,38,418,"3,420",38.0,66,46,112,58,8,10,85,4,1.74,1.21,2.95,1.53,2.74,12,2015-2016,38a0990b-2b21-4b5e-b3e4-96e806c5d50b
a0435291,/en/squads/a0435291/2015-2016/Granada-Stats,vs Granada,28,26.5,55.4,38,418,"3,420",38.0,67,48,115,63,4,5,117,8,1.76,1.26,3.03,1.66,2.92,12,2015-2016,38a0990b-2b21-4b5e-b3e4-96e806c5d50b
2a60ed82,/en/squads/2a60ed82/2015-2016/Deportivo-La-Coruna-Stats,vs La Coruña,25,26.6,52.9,38,418,"3,420",38.0,60,47,107,57,3,4,84,4,1.58,1.24,2.82,1.50,2.74,12,2015-2016,38a0990b-2b21-4b5e-b3e4-96e806c5d50b
0049d422,/en/squads/0049d422/2015-2016/Las-Palmas-Stats,vs Las Palmas,27,26.6,45.4,38,418,"3,420",38.0,52,37,89,49,3,4,108,5,1.37,0.97,2.34,1.29,2.26,12,2015-2016,38a0990b-2b21-4b5e-b3e4-96e806c5d50b
9800b6a1,/en/squads/9800b6a1/2015-2016/Levante-Stats,vs Levante,27,26.4,54.1,38,418,"3,420",38.0,65,50,115,60,5,7,93,2,1.71,1.32,3.03,1.58,2.89,12,2015-2016,38a0990b-2b21-4b5e-b3e4-96e806c5d50b
1c896955,/en/squads/1c896955/2015-2016/Malaga-Stats,vs Málaga,30,26.4,51.2,38,418,"3,420",38.0,32,28,60,31,1,2,124,5,0.84,0.74,1.58,0.82,1.55,12,2015-2016,38a0990b-2b21-4b5e-b3e4-96e806c5d50b
98e8af82,/en/squads/98e8af82/2015-2016/Rayo-Vallecano-Stats,vs Rayo Vallecano,29,26.2,44.4,38,418,"3,420",38.0,71,50,121,64,7,9,88,7,1.87,1.32,3.18,1.68,3.00,12,2015-2016,38a0990b-2b21-4b5e-b3e4-96e806c5d50b
53a2f082,/en/squads/53a2f082/2015-2016/Real-Madrid-Stats,vs Real Madrid,24,26.7,42.7,38,418,"3,420",38.0,34,28,62,33,1,4,117,5,0.89,0.74,1.63,0.87,1.61,12,2015-2016,38a0990b-2b21-4b5e-b3e4-96e806c5d50b
e31d1cd9,/en/squads/e31d1cd9/2015-2016/Real-Sociedad-Stats,vs Real Sociedad,27,26.6,48.2,38,418,"3,420",38.0,47,35,82,42,5,7,122,3,1.24,0.92,2.16,1.11,2.03,12,2015-2016,38a0990b-2b21-4b5e-b3e4-96e806c5d50b
ad2be733,/en/squads/ad2be733/2015-2016/Sevilla-Stats,vs Sevilla,33,26.6,50.0,38,418,"3,420",38.0,48,26,74,46,2,3,123,10,1.26,0.68,1.95,1.21,1.89,12,2015-2016,38a0990b-2b21-4b5e-b3e4-96e806c5d50b
bb9efd50,/en/squads/bb9efd50/2015-2016/Sporting-Gijon-Stats,vs Sporting Gijón,28,26.6,56.9,38,418,"3,420",38.0,61,41,102,55,6,10,105,5,1.61,1.08,2.68,1.45,2.53,12,2015-2016,38a0990b-2b21-4b5e-b3e4-96e806c5d50b
dcc91a7b,/en/squads/dcc91a7b/2015-2016/Valencia-Stats,vs Valencia,30,26.7,49.9,38,418,"3,420",38.0,47,37,84,45,2,4,95,3,1.24,0.97,2.21,1.18,2.16,12,2015-2016,38a0990b-2b21-4b5e-b3e4-96e806c5d50b
2a8183b3,/en/squads/2a8183b3/2015-2016/Villarreal-Stats,vs Villarreal,26,26.6,54.1,38,418,"3,420",38.0,34,24,58,32,2,3,105,5,0.89,0.63,1.53,0.84,1.47,12,2015-2016,38a0990b-2b21-4b5e-b3e4-96e806c5d50b
