rank,team_id,team_url,team,logo_url,home_games,home_wins,home_ties,home_losses,home_goals_for,home_goals_against,home_goal_diff,home_points,home_points_avg,away_games,away_wins,away_ties,away_losses,away_goals_for,away_goals_against,away_goal_diff,away_points,away_points_avg,competition_id,season_id,id
1,fd6114db,/en/squads/fd6114db/2016-2017/Monaco-Stats,Monaco,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.fd6114db.png,19,17,1,1,63,13,+50,52,2.74,19,13,4,2,44,18,+26,43,2.26,13,2016-2017,eb12e08d-4762-44e4-a46c-52f0d8d2a751
2,e2d8892c,/en/squads/e2d8892c/2016-2017/Paris-Saint-Germain-Stats,Paris S-G,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.e2d8892c.png,19,13,6,0,42,7,+35,45,2.37,19,14,0,5,41,20,+21,42,2.21,13,2016-2017,eb12e08d-4762-44e4-a46c-52f0d8d2a751
3,132ebc33,/en/squads/132ebc33/2016-2017/Nice-Stats,Nice,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.132ebc33.png,19,14,4,1,39,16,+23,46,2.42,19,8,8,3,24,20,+4,32,1.68,13,2016-2017,eb12e08d-4762-44e4-a46c-52f0d8d2a751
4,d53c0b06,/en/squads/d53c0b06/2016-2017/Lyon-Stats,Lyon,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.d53c0b06.png,19,12,1,6,46,26,+20,37,1.95,19,9,3,7,31,22,+9,30,1.58,13,2016-2017,eb12e08d-4762-44e4-a46c-52f0d8d2a751
5,5725cc7b,/en/squads/5725cc7b/2016-2017/Marseille-Stats,Marseille,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.5725cc7b.png,19,13,4,2,33,13,+20,43,2.26,19,4,7,8,24,28,-4,19,1.00,13,2016-2017,eb12e08d-4762-44e4-a46c-52f0d8d2a751
6,123f3efe,/en/squads/123f3efe/2016-2017/Bordeaux-Stats,Bordeaux,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.123f3efe.png,19,9,6,4,27,19,+8,33,1.74,19,6,8,5,26,24,+2,26,1.37,13,2016-2017,eb12e08d-4762-44e4-a46c-52f0d8d2a751
7,d7a486cd,/en/squads/d7a486cd/2016-2017/Nantes-Stats,Nantes,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.d7a486cd.png,19,8,4,7,19,24,-5,28,1.47,19,6,5,8,21,30,-9,23,1.21,13,2016-2017,eb12e08d-4762-44e4-a46c-52f0d8d2a751
8,d298ef2c,/en/squads/d298ef2c/2016-2017/Saint-Etienne-Stats,Saint-Ã‰tienne,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.d298ef2c.png,19,7,9,3,24,18,+6,30,1.58,19,5,5,9,17,24,-7,20,1.05,13,2016-2017,eb12e08d-4762-44e4-a46c-52f0d8d2a751
9,b3072e00,/en/squads/b3072e00/2016-2017/Rennes-Stats,Rennes,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.b3072e00.png,19,10,6,3,26,15,+11,36,1.89,19,2,8,9,10,27,-17,14,0.74,13,2016-2017,eb12e08d-4762-44e4-a46c-52f0d8d2a751
10,d41b5f53,/en/squads/d41b5f53/2016-2017/Guingamp-Stats,Guingamp,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.d41b5f53.png,19,12,3,4,28,13,+15,39,2.05,19,2,5,12,18,40,-22,11,0.58,13,2016-2017,eb12e08d-4762-44e4-a46c-52f0d8d2a751
11,cb188c0c,/en/squads/cb188c0c/2016-2017/Lille-Stats,Lille,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.cb188c0c.png,19,7,3,9,24,24,0,24,1.26,19,6,4,9,16,23,-7,22,1.16,13,2016-2017,eb12e08d-4762-44e4-a46c-52f0d8d2a751
12,69236f98,/en/squads/69236f98/2016-2017/Angers-Stats,Angers,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.69236f98.png,19,8,5,6,23,17,+6,29,1.53,19,5,2,12,17,32,-15,17,0.89,13,2016-2017,eb12e08d-4762-44e4-a46c-52f0d8d2a751
13,3f8c4b5f,/en/squads/3f8c4b5f/2016-2017/Toulouse-Stats,Toulouse,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.3f8c4b5f.png,19,8,6,5,28,18,+10,30,1.58,19,2,8,9,9,23,-14,14,0.74,13,2016-2017,eb12e08d-4762-44e4-a46c-52f0d8d2a751
14,f83960ae,/en/squads/f83960ae/2016-2017/Metz-Stats,Metz,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.f83960ae.png,19,7,7,5,27,34,-7,28,1.47,19,4,3,12,12,38,-26,15,0.79,13,2016-2017,eb12e08d-4762-44e4-a46c-52f0d8d2a751
15,281b0e73,/en/squads/281b0e73/2016-2017/Montpellier-Stats,Montpellier,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.281b0e73.png,19,8,5,6,28,22,+6,29,1.53,19,2,4,13,20,44,-24,10,0.53,13,2016-2017,eb12e08d-4762-44e4-a46c-52f0d8d2a751
16,8dfb7350,/en/squads/8dfb7350/2016-2017/Dijon-Stats,Dijon,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.8dfb7350.png,19,7,6,6,27,21,+6,27,1.42,19,1,7,11,19,37,-18,10,0.53,13,2016-2017,eb12e08d-4762-44e4-a46c-52f0d8d2a751
17,74229020,/en/squads/74229020/2016-2017/Caen-Stats,Caen,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.74229020.png,19,7,2,10,21,37,-16,23,1.21,19,3,5,11,15,28,-13,14,0.74,13,2016-2017,eb12e08d-4762-44e4-a46c-52f0d8d2a751
18,d2c87802,/en/squads/d2c87802/2016-2017/Lorient-Stats,Lorient,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.d2c87802.png,19,7,4,8,25,29,-4,25,1.32,19,3,2,14,19,41,-22,11,0.58,13,2016-2017,eb12e08d-4762-44e4-a46c-52f0d8d2a751
19,e88fc6e5,/en/squads/e88fc6e5/2016-2017/Nancy-Stats,Nancy,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.e88fc6e5.png,19,7,3,9,21,23,-2,24,1.26,19,2,5,12,8,29,-21,11,0.58,13,2016-2017,eb12e08d-4762-44e4-a46c-52f0d8d2a751
20,6283be2c,/en/squads/6283be2c/2016-2017/Bastia-Stats,Bastia,https://cdn.ssref.net/req/202507141/tlogo/fb/mini.6283be2c.png,19,5,9,5,17,14,+3,24,1.26,19,3,1,15,12,40,-28,10,0.53,13,2016-2017,eb12e08d-4762-44e4-a46c-52f0d8d2a751
