team_id,team_url,team,players_used,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net,competition_id,season_id,id
25622401,/en/squads/25622401/2017-2018/Amiens-Stats,Amiens,30,38.0,36,356,95,26.7,9.37,2.50,0.09,0.35,19.8,14,3,4,32.8,29.8,0.08,+3.2,+3.2,13,2017-2018,89262e14-ae86-4533-a04d-bed3bafde8c6
69236f98,/en/squads/69236f98/2017-2018/Angers-Stats,Angers,27,38.0,41,458,151,33.0,12.05,3.97,0.08,0.25,18.8,21,4,4,47.6,44.5,0.10,-6.6,-7.5,13,2017-2018,89262e14-ae86-4533-a04d-bed3bafde8c6
123f3efe,/en/squads/123f3efe/2017-2018/Bordeaux-Stats,Bordeaux,31,38.0,52,465,143,30.8,12.24,3.76,0.10,0.34,19.1,22,4,6,51.0,46.1,0.10,+1.0,+1.9,13,2017-2018,89262e14-ae86-4533-a04d-bed3bafde8c6
74229020,/en/squads/74229020/2017-2018/Caen-Stats,Caen,26,38.0,25,452,119,26.3,11.89,3.13,0.04,0.17,20.4,12,5,8,42.8,36.6,0.08,-17.8,-16.6,13,2017-2018,89262e14-ae86-4533-a04d-bed3bafde8c6
8dfb7350,/en/squads/8dfb7350/2017-2018/Dijon-Stats,Dijon,26,38.0,52,435,154,35.4,11.45,4.05,0.11,0.31,19.6,26,5,5,41.6,37.8,0.09,+10.4,+9.2,13,2017-2018,89262e14-ae86-4533-a04d-bed3bafde8c6
d41b5f53,/en/squads/d41b5f53/2017-2018/Guingamp-Stats,Guingamp,23,38.0,46,442,156,35.3,11.63,4.11,0.09,0.26,18.8,32,6,7,45.5,40.1,0.09,+0.5,-0.1,13,2017-2018,89262e14-ae86-4533-a04d-bed3bafde8c6
cb188c0c,/en/squads/cb188c0c/2017-2018/Lille-Stats,Lille,25,38.0,41,429,139,32.4,11.29,3.66,0.09,0.28,20.7,22,2,2,36.4,34.8,0.08,+4.6,+4.2,13,2017-2018,89262e14-ae86-4533-a04d-bed3bafde8c6
d53c0b06,/en/squads/d53c0b06/2017-2018/Lyon-Stats,Lyon,26,38.0,85,574,220,38.3,15.11,5.79,0.14,0.36,19.0,53,6,7,63.4,58.3,0.10,+21.6,+20.7,13,2017-2018,89262e14-ae86-4533-a04d-bed3bafde8c6
5725cc7b,/en/squads/5725cc7b/2017-2018/Marseille-Stats,Marseille,26,38.0,79,619,219,35.4,16.29,5.76,0.12,0.34,17.7,22,5,8,78.1,71.7,0.12,+0.9,+2.3,13,2017-2018,89262e14-ae86-4533-a04d-bed3bafde8c6
f83960ae,/en/squads/f83960ae/2017-2018/Metz-Stats,Metz,36,38.0,33,426,156,36.6,11.21,4.11,0.07,0.19,19.9,16,3,4,40.3,37.2,0.09,-7.3,-7.2,13,2017-2018,89262e14-ae86-4533-a04d-bed3bafde8c6
fd6114db,/en/squads/fd6114db/2017-2018/Monaco-Stats,Monaco,32,38.0,83,483,169,35.0,12.71,4.45,0.16,0.45,17.9,34,7,8,62.3,56.1,0.12,+20.7,+19.9,13,2017-2018,89262e14-ae86-4533-a04d-bed3bafde8c6
281b0e73,/en/squads/281b0e73/2017-2018/Montpellier-Stats,Montpellier,23,38.0,36,490,154,31.4,12.89,4.05,0.07,0.23,20.5,25,0,2,42.6,41.0,0.09,-6.6,-5.0,13,2017-2018,89262e14-ae86-4533-a04d-bed3bafde8c6
d7a486cd,/en/squads/d7a486cd/2017-2018/Nantes-Stats,Nantes,30,38.0,36,496,129,26.0,13.05,3.39,0.06,0.25,19.9,34,4,5,41.8,37.9,0.08,-5.8,-5.9,13,2017-2018,89262e14-ae86-4533-a04d-bed3bafde8c6
132ebc33,/en/squads/132ebc33/2017-2018/Nice-Stats,Nice,31,38.0,52,475,170,35.8,12.50,4.47,0.09,0.26,19.9,33,8,10,49.2,41.7,0.09,+2.8,+2.3,13,2017-2018,89262e14-ae86-4533-a04d-bed3bafde8c6
e2d8892c,/en/squads/e2d8892c/2017-2018/Paris-Saint-Germain-Stats,Paris S-G,28,38.0,100,615,238,38.7,16.18,6.26,0.15,0.39,17.4,36,7,9,86.1,79.3,0.13,+13.9,+13.7,13,2017-2018,89262e14-ae86-4533-a04d-bed3bafde8c6
b3072e00,/en/squads/b3072e00/2017-2018/Rennes-Stats,Rennes,28,38.0,48,461,135,29.3,12.13,3.55,0.09,0.31,19.6,29,6,8,49.8,43.6,0.10,-1.8,-1.6,13,2017-2018,89262e14-ae86-4533-a04d-bed3bafde8c6
d298ef2c,/en/squads/d298ef2c/2017-2018/Saint-Etienne-Stats,Saint-Ã‰tienne,30,38.0,45,412,139,33.7,10.84,3.66,0.09,0.27,19.1,18,7,11,51.0,42.8,0.11,-6.0,-4.8,13,2017-2018,89262e14-ae86-4533-a04d-bed3bafde8c6
c0d3eab4,/en/squads/c0d3eab4/2017-2018/Strasbourg-Stats,Strasbourg,25,38.0,43,445,121,27.2,11.71,3.18,0.08,0.30,19.2,21,7,7,45.5,40.0,0.09,-2.5,-4.0,13,2017-2018,89262e14-ae86-4533-a04d-bed3bafde8c6
3f8c4b5f,/en/squads/3f8c4b5f/2017-2018/Toulouse-Stats,Toulouse,25,38.0,35,421,132,31.4,11.08,3.47,0.06,0.20,18.9,26,8,11,45.5,37.0,0.09,-10.5,-10.0,13,2017-2018,89262e14-ae86-4533-a04d-bed3bafde8c6
54195385,/en/squads/54195385/2017-2018/Troyes-Stats,Troyes,25,38.0,30,358,118,33.0,9.42,3.11,0.08,0.24,18.7,16,2,3,38.0,35.7,0.10,-8.0,-7.7,13,2017-2018,89262e14-ae86-4533-a04d-bed3bafde8c6
